Node,X,Y,Demand
0,74,104,31
1,168,97,79
2,62,190,22
3,121,155,32
4,95,170,28
5,122,163,52
6,147,37,29
7,129,168,30
8,94,68,40
9,21,58,70
10,69,21,29
11,152,185,78
12,128,110,67
13,192,63,31
14,79,6,29
15,87,121,34
16,138,89,24
17,73,128,28
18,35,16,0
19,111,106,25
20,175,110,28
21,176,43,0
22,114,13,32
23,138,121,30
24,134,39,64
25,186,136,31
26,116,119,50
27,64,161,43
28,60,36,59
29,149,26,46
30,176,132,28
31,139,169,66
32,19,73,32
33,51,92,70
34,76,73,30
35,124,36,33
36,37,127,25
37,50,168,0
38,191,129,26
39,162,10,29
40,25,94,40
41,140,142,41
42,65,136,28
43,167,127,25
44,115,98,24
45,33,106,24
46,58,17,50
47,173,174,0
48,150,75,34
49,176,52,38
