Node,X,Y,Year5,Year10
0,74,104,47,77
1,168,97,105,145
2,62,190,43,57
3,121,155,38,56
4,95,170,37,53
5,122,163,72,104
6,147,37,34,49
7,129,168,50,72
8,94,68,53,71
9,21,58,88,131
10,69,21,38,48
11,152,185,89,121
12,128,110,81,109
13,192,63,42,56
14,79,6,42,58
15,87,121,45,65
16,138,89,34,47
17,73,128,35,58
18,35,16,0,0
19,111,106,33,43
20,175,110,44,65
21,176,43,0,0
22,114,13,46,66
23,138,121,33,51
24,134,39,82,110
25,186,136,48,77
26,116,119,80,111
27,64,161,56,80
28,60,36,72,104
29,149,26,50,67
30,176,132,41,48
31,139,169,92,135
32,19,73,44,59
33,51,92,99,144
34,76,73,34,46
35,124,36,46,66
36,37,127,38,52
37,50,168,0,0
38,191,129,34,54
39,162,10,38,49
40,25,94,57,85
41,140,142,51,72
42,65,136,37,58
43,167,127,45,65
44,115,98,28,39
45,33,106,33,42
46,58,17,70,91
47,173,174,0,0
48,150,75,51,72
49,176,52,48,68
